bank,index_hex,index_dec,codepoint,html_entity,bits_TLTRMLMRBLBR,category,notes
contiguous,00,0,U+E200,&#xE200;,000000,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,01,1,U+E201,&#xE201;,100000,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,02,2,U+E202,&#xE202;,010000,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,03,3,U+E203,&#xE203;,110000,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,04,4,U+E204,&#xE204;,001000,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,05,5,U+E205,&#xE205;,101000,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,06,6,U+E206,&#xE206;,011000,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,07,7,U+E207,&#xE207;,111000,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,08,8,U+E208,&#xE208;,000100,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,09,9,U+E209,&#xE209;,100100,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,0A,10,U+E20A,&#xE20A;,010100,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,0B,11,U+E20B,&#xE20B;,110100,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,0C,12,U+E20C,&#xE20C;,001100,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,0D,13,U+E20D,&#xE20D;,101100,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,0E,14,U+E20E,&#xE20E;,011100,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,0F,15,U+E20F,&#xE20F;,111100,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,10,16,U+E210,&#xE210;,000010,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,11,17,U+E211,&#xE211;,100010,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,12,18,U+E212,&#xE212;,010010,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,13,19,U+E213,&#xE213;,110010,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,14,20,U+E214,&#xE214;,001010,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,15,21,U+E215,&#xE215;,101010,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,16,22,U+E216,&#xE216;,011010,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,17,23,U+E217,&#xE217;,111010,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,18,24,U+E218,&#xE218;,000110,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,19,25,U+E219,&#xE219;,100110,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,1A,26,U+E21A,&#xE21A;,010110,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,1B,27,U+E21B,&#xE21B;,110110,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,1C,28,U+E21C,&#xE21C;,001110,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,1D,29,U+E21D,&#xE21D;,101110,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,1E,30,U+E21E,&#xE21E;,011110,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,1F,31,U+E21F,&#xE21F;,111110,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,20,32,U+E220,&#xE220;,000001,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,21,33,U+E221,&#xE221;,100001,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,22,34,U+E222,&#xE222;,010001,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,23,35,U+E223,&#xE223;,110001,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,24,36,U+E224,&#xE224;,001001,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,25,37,U+E225,&#xE225;,101001,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,26,38,U+E226,&#xE226;,011001,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,27,39,U+E227,&#xE227;,111001,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
contiguous,28,40,U+E228,&#xE228;,000101,mosaic-2x3,"Bit order (LSB→MSB): TL,TR,ML,MR,BL,BR"
